Source;Target;Weight;Season;Gender
RODRIK;THEON;23;2;M
ALTON;ROBB;22;2;M
HODOR;OSHA;22;2;M
ROS;VARYS;22;2;M
BLACK_LORREN;THEON;21;2;M
CERSEI;SHAE;21;2;F
MATTHOS;STANNIS;21;2;M
ROBB;THEON;21;2;M
ARYA;YOREN;20;2;F
DAENERYS;DOREAH;20;2;F
LITTLEFINGER;RENLY;20;2;M
SPICE_KING;XARO;20;2;M
STANNIS;TYRION;20;2;M
BRAN;RODRIK;18;2;M
JORAH;QUAITHE;18;2;M
CAPTAINS_DAUGHTER;THEON;17;2;M
CATELYN;RICKARD_KARSTARK;17;2;F
CERSEI;PYCELLE;17;2;F
CRASTER;JON;17;2;M
DAISY;ROS;17;2;F
AMORY;ARYA;16;2;M
ARYA;RORGE;16;2;F
CRESSEN;DAVOS;16;2;M
HODOR;RICKON;16;2;M
LORD_OF_BONES;YGRITTE;16;2;M
BALON;YARA;15;2;M
CERSEI;TYWIN;15;2;F
DAENERYS;IRRI;15;2;F
JORAH;KOVARRO;15;2;M
LITTLEFINGER;LORAS;15;2;M
OSHA;RICKON;15;2;F
AMORY;TYWIN;14;2;M
MAESTER_LUWIN;OSHA;14;2;M
MATTHOS;SALLADHOR;14;2;M
BRONN;HOUND;13;2;M
CATELYN;STANNIS;13;2;F
CERSEI;JAIME;13;2;F
DONTOS;JOFFREY;13;2;M
DOREAH;XARO;13;2;M
HAYLENE;TYRION;13;2;F
JEOR;QHORIN;13;2;M
JOFFREY;MERYN_TRANT;13;2;M
LITTLEFINGER;ROS;13;2;M
MERYN_TRANT;TYRION;13;2;M
MYRCELLA;TYRION;13;2;F
CERSEI;MYRCELLA;12;2;F
DAENERYS;RAKHARO;12;2;F
DAVOS;RENLY;12;2;M
JAIME;TYRION;12;2;M
JOFFREY;LANCEL;12;2;M
JOFFREY;ROBB;12;2;M
JON;LORD_OF_BONES;12;2;M
JORAH;XARO;12;2;M
MOUNTAIN;TYWIN;12;2;M
NED;ROBB;12;2;M
RICKARD_KARSTARK;ROBB;12;2;M
BRONN;VARYS;11;2;M
CATELYN;TALISA;11;2;F
CERSEI;JANOS;11;2;F
CERSEI;VARYS;11;2;F
SHAE;VARYS;11;2;F
TYRION;TYWIN;11;2;M
BRONN;HAYLENE;10;2;M
CRESSEN;MELISANDRE;10;2;M
DAENERYS;DROGO;10;2;F
GILLY;JON;10;2;M
HOT_PIE;LOMMY;10;2;M
JEOR;SAM;10;2;M
KOVARRO;XARO;10;2;M
MERYN_TRANT;SANSA;10;2;M
NED;TYRION;10;2;M
PODRICK;VARYS;10;2;M
QHORIN;LORD_OF_BONES;10;2;M
ALTON;CERSEI;9;2;M
BRONN;JOFFREY;9;2;M
CATELYN;LORAS;9;2;F
HODOR;MAESTER_LUWIN;9;2;M
HOUND;LANCEL;9;2;M
JAQEN;RORGE;9;2;M
JOFFREY;ROS;9;2;M
JOFFREY;STANNIS;9;2;M
JOFFREY;TYWIN;9;2;M
KEVAN;TYWIN;9;2;M
LITTLEFINGER;SANSA;9;2;M
LITTLEFINGER;VARYS;9;2;M
MANCE;QHORIN;9;2;M
PYATT_PREE;XARO;9;2;M
SANSA;TOMMEN;9;2;F
AMORY;YOREN;8;2;M
ARYA;BITER;8;2;F
ARYA;LITTLEFINGER;8;2;F
BALON;ROBB;8;2;M
BITER;RORGE;8;2;M
CATELYN;JACKS;8;2;F
CATELYN;NED;8;2;F
EDDISON_TOLLETT;JON;8;2;M
JAIME;TYWIN;8;2;M
JOFFREY;LORAS;8;2;M
JOFFREY;MYRCELLA;8;2;M
LITTLEFINGER;STANNIS;8;2;M
MANDON;TYRION;8;2;M
MELISANDRE;RENLY;8;2;F
PYCELLE;VARYS;8;2;M
REGINALD;TYWIN;8;2;M
RENLY;ROBB;8;2;M
ROBB;TYWIN;8;2;M
ARYA;CERSEI;7;2;F
ARYA;POLLIVER;7;2;F
ARYA;ROBB;7;2;F
BLACK_LORREN;DAGMER;7;2;M
BRAN;ROBB;7;2;M
BRIENNE;JACKS;7;2;F
BRIENNE;LORAS;7;2;F
DAISY;JOFFREY;7;2;F
DOREAH;JORAH;7;2;M
GENDRY;YOREN;7;2;M
JAIME;JOFFREY;7;2;M
JOFFREY;LITTLEFINGER;7;2;M
JOFFREY;VARYS;7;2;M
THEON;WINTERFELL_SHEPHERD;7;2;M
ARYA;LOMMY;6;2;F
ARYA;MOUNTAIN;6;2;F
ARYA;SANSA;6;2;F
BRAN;DAGMER;6;2;M
BRAN;FARLEN;6;2;M
BRONN;LANCEL;6;2;M
BRONN;PYCELLE;6;2;M
CATELYN;SANSA;6;2;F
CERSEI;HOUND;6;2;F
CERSEI;NED;6;2;F
CERSEI;ROBERT;6;2;F
CRASTER;GILLY;6;2;M
GENDRY;TICKLER;6;2;M
GRENN;JON;6;2;M
JOFFREY;TOMMEN;6;2;M
LOMMY;POLLIVER;6;2;M
MANCE;YGRITTE;6;2;M
MANDON;PODRICK;6;2;M
RICKON;THEON;6;2;M
ROBB;STANNIS;6;2;M
ROOSE_BOLTON;TALISA;6;2;M
ALTON;TORRHEN;5;2;M
ARYA;CATELYN;5;2;F
ARYA;JOFFREY;5;2;F
ARYA;TICKLER;5;2;F
BALON;NED;5;2;M
BITER;JAQEN;5;2;M
BRIENNE;MARGAERY;5;2;F
BRIENNE;ROBB;5;2;F
BRIENNE;STANNIS;5;2;F
BRONN;MERYN_TRANT;5;2;M
CATELYN;MARGAERY;5;2;F
CATELYN;TYRION;5;2;F
CERSEI;LORAS;5;2;F
CERSEI;STANNIS;5;2;F
CRASTER;SAM;5;2;M
CRESSEN;STANNIS;5;2;M
DAGMER;MAESTER_LUWIN;5;2;M
DROWNED_PRIEST;THEON;5;2;M
GERARD;RENLY;5;2;M
HODOR;THEON;5;2;M
HOUND;MERYN_TRANT;5;2;M
JAIME;NED;5;2;M
JOFFREY;PODRICK;5;2;M
JOFFREY;ROBERT;5;2;M
JON;MANCE;5;2;M
JORAH;PYATT_PREE;5;2;M
LORAS;STANNIS;5;2;M
MAESTER_LUWIN;RODRIK;5;2;M
MYRCELLA;SANSA;5;2;F
MYRCELLA;TOMMEN;5;2;F
NED;THEON;5;2;M
PYCELLE;TIMETT;5;2;M
QHORIN;SAM;5;2;M
ROBB;RODRIK;5;2;M
ROBB;SANSA;5;2;M
ROBERT;STANNIS;5;2;M
TYWIN;VARYS;5;2;M
AERYS;JAIME;4;2;M
ALTON;RICKARD_KARSTARK;4;2;M
ARYA;NED;4;2;F
BARRA;MHAEGEN;4;2;
BRONN;SANSA;4;2;M
BRONN;TIMETT;4;2;M
CATELYN;COLEN;4;2;F
CATELYN;ROOSE_BOLTON;4;2;F
CERSEI;PODRICK;4;2;F
CERSEI;ROBB;4;2;F
DAENERYS;QUAITHE;4;2;F
DAENERYS;RHAEGO;4;2;F
DAENERYS;SILK_KING;4;2;F
DAGMER;RICKON;4;2;M
DONTOS;MERYN_TRANT;4;2;M
DOREAH;IRRI;4;2;M
DOREAH;KOVARRO;4;2;M
EDDISON_TOLLETT;GILLY;4;2;M
GENDRY;JAQEN;4;2;M
GENDRY;LOMMY;4;2;M
GENDRY;TYWIN;4;2;M
HAYLENE;HOUND;4;2;F
HAYLENE;JOFFREY;4;2;F
HOUND;PODRICK;4;2;M
ILYN_PAYNE;SANSA;4;2;M
ILYN_PAYNE;SHAE;4;2;M
JAIME;RICKARD_KARSTARK;4;2;M
JAIME;STANNIS;4;2;M
JANOS;JOFFREY;4;2;M
JANOS;LITTLEFINGER;4;2;M
JANOS;MHAEGEN;4;2;M
JANOS;ROS;4;2;M
JOFFREY;MANDON;4;2;M
JOFFREY;MARGAERY;4;2;M
JON;NED;4;2;M
LANCEL;SANSA;4;2;M
LITTLEFINGER;PYCELLE;4;2;M
MAESTER_LUWIN;RICKON;4;2;M
MATTHOS;MELISANDRE;4;2;M
NED;ROBERT;4;2;M
NED;STANNIS;4;2;M
RICKARD_KARSTARK;TORRHEN;4;2;M
ROBB;YARA;4;2;M
STANNIS;VARYS;4;2;M
ALTON;TYRION;3;2;M
AMORY;JAQEN;3;2;M
AMORY;POLLIVER;3;2;M
ARYA;HOUND;3;2;F
ARYA;VISENYA;3;2;F
BLACK_LORREN;RODRIK;3;2;M
BRAN;JOFFREY;3;2;M
BRAN;WINTERFELL_SHEPHERD;3;2;M
BRONN;JANOS;3;2;M
BRONN;PODRICK;3;2;M
BRONN;TYWIN;3;2;M
CATELYN;JOFFREY;3;2;F
CERSEI;ILYN_PAYNE;3;2;F
CERSEI;MANDON;3;2;F
CERSEI;MERYN_TRANT;3;2;F
CRASTER;EDDISON_TOLLETT;3;2;M
DAENERYS;MALAKKO;3;2;F
DAGMER;OSHA;3;2;M
DAGMER;RODRIK;3;2;M
DROGO;RHAEGO;3;2;M
FARLEN;THEON;3;2;M
GENDRY;MOUNTAIN;3;2;M
GENDRY;RORGE;3;2;M
HOT_PIE;JAQEN;3;2;M
HOT_PIE;MOUNTAIN;3;2;M
HOUND;SHAE;3;2;M
IRRI;KOVARRO;3;2;F
IRRI;XARO;3;2;F
JAIME;MATTHOS;3;2;M
JAIME;ROBERT;3;2;M
JAIME;TORRHEN;3;2;M
JANOS;PODRICK;3;2;M
JANOS;VARYS;3;2;M
JAQEN;TYWIN;3;2;M
JOFFREY;NED;3;2;M
JOFFREY;PYCELLE;3;2;M
JOFFREY;TALISA;3;2;M
JON_ARRYN;NED;3;2;M
JORAH;SPICE_KING;3;2;M
KOVARRO;MALAKKO;3;2;M
KOVARRO;PYATT_PREE;3;2;M
LANCEL;STANNIS;3;2;M
LITTLEFINGER;ROBB;3;2;M
LITTLEFINGER;ROBIN;3;2;M
LORAS;PYCELLE;3;2;M
LORAS;TYWIN;3;2;M
MAESTER_LUWIN;PORTAN;3;2;M
MAESTER_LUWIN;WINTERFELL_SHEPHERD;3;2;M
MALAKKO;XARO;3;2;M
MANCE;LORD_OF_BONES;3;2;M
MOUNTAIN;POLLIVER;3;2;M
MYRCELLA;ROBIN;3;2;F
NED;VARYS;3;2;M
NED;YARA;3;2;M
PODRICK;PYCELLE;3;2;M
PODRICK;SHAE;3;2;M
PYATT_PREE;SPICE_KING;3;2;M
PYCELLE;ROBERT;3;2;M
PYCELLE;TYWIN;3;2;M
QUENT;ROBB;3;2;M
RENLY;ROBERT;3;2;M
ROBERT;TYRION;3;2;M
ROBIN;TYRION;3;2;M
RORGE;YOREN;3;2;M
SANSA;TYWIN;3;2;F
SHAE;TOMMEN;3;2;F
STANNIS;TYWIN;3;2;M
THEON;VARYS;3;2;M
TIMETT;TYRION;3;2;M
TOMMEN;TYRION;3;2;M
AEGON;ARYA;2;2;M
AERYS;PYCELLE;2;2;M
AERYS;ROBERT;2;2;M
AERYS;TYWIN;2;2;M
ALTON;TALISA;2;2;M
AMORY;HOT_PIE;2;2;M
ARYA;KEVAN;2;2;F
ARYA;REGINALD;2;2;F
ARYA;RHAENYS;2;2;F
ARYA;SYRIO_FOREL;2;2;F
ARYA;TYRION;2;2;F
BALON;CATELYN;2;2;M
BARRA;JANOS;2;2;
BENJEN;CRASTER;2;2;M
BILLY;RICKON;2;2;M
BITER;YOREN;2;2;M
BLACK_LORREN;MAESTER_LUWIN;2;2;M
BLACK_LORREN;OSHA;2;2;M
BOROS;JOFFREY;2;2;M
BRAN;CATELYN;2;2;M
BRAN;SANSA;2;2;M
BRIENNE;COLEN;2;2;F
BRIENNE;DAVOS;2;2;F
BRIENNE;LITTLEFINGER;2;2;F
BRIENNE;MELISANDRE;2;2;F
BRIENNE;RICKARD_KARSTARK;2;2;F
BRONN;CERSEI;2;2;M
BRONN;SHAE;2;2;M
CATELYN;DAVOS;2;2;F
CATELYN;MELISANDRE;2;2;F
CATELYN;RICKON;2;2;F
CERSEI;DAVOS;2;2;F
CERSEI;HAYLENE;2;2;F
CERSEI;JOANNA;2;2;F
CERSEI;MATTHOS;2;2;F
CERSEI;SALLADHOR;2;2;F
COLEN;LORAS;2;2;M
COLEN;MARGAERY;2;2;M
COLEN;RENLY;2;2;M
CRASTER;MANCE;2;2;M
CRESSEN;MATTHOS;2;2;M
DAGMER;FARLEN;2;2;M
DAGMER;HODOR;2;2;M
DAGMER;YARA;2;2;M
DAVOS;FATHER_SEAWORTH;2;2;M
DAVOS;JOFFREY;2;2;M
DAVOS;LORAS;2;2;M
DAVOS;MARYA;2;2;M
DAVOS;ROBB;2;2;M
DAVOS;ROBERT;2;2;M
DONTOS;SANSA;2;2;M
EDDISON_TOLLETT;JEOR;2;2;M
FARLEN;RICKON;2;2;M
FREY_DAUGHTER;ROBB;2;2;F
GENDRY;NED;2;2;M
GILLY;GRENN;2;2;M
HARREN;TYWIN;2;2;M
HAYLENE;PODRICK;2;2;F
HIGH_SEPTON;MYRCELLA;2;2;M
HOT_PIE;POLLIVER;2;2;M
HOT_PIE;TICKLER;2;2;M
HOUND;NED;2;2;M
HOUND;STANNIS;2;2;M
HOUND;TOMMEN;2;2;M
ILYN_PAYNE;LANCEL;2;2;M
ILYN_PAYNE;TOMMEN;2;2;M
IRRI;JORAH;2;2;F
JACKS;JAIME;2;2;M
JAIME;JON;2;2;M
JAIME;LITTLEFINGER;2;2;M
JANOS;PYCELLE;2;2;M
JAQEN;YOREN;2;2;M
JEOR;TYRION;2;2;M
JOFFREY;MATTHOS;2;2;M
JOFFREY;RENLY;2;2;M
JOFFREY;SHAE;2;2;M
JON_ARRYN;PYCELLE;2;2;M
JON_ARRYN;ROBERT;2;2;M
JORAH;MALAKKO;2;2;M
KEVAN;STANNIS;2;2;M
KOVARRO;SPICE_KING;2;2;M
LANCEL;SHAE;2;2;M
LANCEL;TOMMEN;2;2;M
LITTLEFINGER;MYRCELLA;2;2;M
LORAS;MELISANDRE;2;2;M
LORAS;ROBB;2;2;M
LORAS;TOMMEN;2;2;M
LYSA;TYRION;2;2;F
MARGAERY;STANNIS;2;2;
MARGAERY;TYWIN;2;2;
MATTHOS;ROBERT;2;2;M
MELESSA;SAM;2;2;F
MERYN_TRANT;TOMMEN;2;2;M
MHAEGEN;ROS;2;2;M
MYRCELLA;ROBERT;2;2;F
MYRCELLA;TRYSTANE;2;2;F
NED;RODRIK;2;2;M
NED;SANSA;2;2;M
NED;TYWIN;2;2;M
OSHA;ROBB;2;2;F
POLLIVER;TYWIN;2;2;M
PROTESTER;TYRION;2;2;M
QUAITHE;XARO;2;2;M
RAMSAY;ROOSE_BOLTON;2;2;M
RANDYLL;SAM;2;2;M
RENNICK;ROBB;2;2;M
RHAENYS;VISENYA;2;2;M
RICKARD_KARSTARK;ROOSE_BOLTON;2;2;M
RICKARD_KARSTARK;TALISA;2;2;M
RICKON;RODRIK;2;2;M
ROBERT;THEON;2;2;M
ROBERT;TOMMEN;2;2;M
SHAE;TYWIN;2;2;F
SILK_KING;SPICE_KING;2;2;M
TALISA;TORRHEN;2;2;F
THEON;TORRHEN;2;2;M
THEON;TYRION;2;2;M
TRYSTANE;TYRION;2;2;M
