Source;Target;Type;Weight;book;Genero
Aggo;Rakharo;Undirected;3;3;M
Alayaya;BRONN;Undirected;3;3;F
Alayaya;Cersei-Lannister;Undirected;3;3;F
Alayaya;Tyrion-Lannister;Undirected;4;3;F
Alerie-Hightower;Mace-Tyrell;Undirected;3;3;F
Alerie-Hightower;Margaery-Tyrell;Undirected;3;3;F
Alester-Florent;Axell-Florent;Undirected;4;3;M
Alester-Florent;Davos-Seaworth;Undirected;11;3;M
Alester-Florent;Lamprey;Undirected;3;3;M
Alester-Florent;Selyse-Florent;Undirected;4;3;M
Alester-Florent;Stannis-Baratheon;Undirected;4;3;M
Alla-Tyrell;Elinor-Tyrell;Undirected;5;3;F
Alla-Tyrell;Megga-Tyrell;Undirected;6;3;F
Alla-Tyrell;Sansa-Stark;Undirected;4;3;F
Alliser-Thorne;Janos-Slynt;Undirected;13;3;M
Alliser-Thorne;JON;Undirected;22;3;M
Alliser-Thorne;Mance-Rayder;Undirected;6;3;M
Alliser-Thorne;Qhorin-Halfhand;Undirected;4;3;M
Alliser-Thorne;SAM;Undirected;4;3;M
Alliser-Thorne;Stannis-Baratheon;Undirected;3;3;M
Amory-Lorch;Gregor-Clegane;Undirected;3;3;M
Amory-Lorch;Jaime-Lannister;Undirected;3;3;M
Amory-Lorch;Oberyn-Martell;Undirected;6;3;M
Amory-Lorch;Tywin-Lannister;Undirected;4;3;M
Amory-Lorch;Vargo-Hoat;Undirected;3;3;M
Anders-Yronwood;Oberyn-Martell;Undirected;3;3;M
Andrew-Estermont;Davos-Seaworth;Undirected;4;3;M
Andrew-Estermont;Edric-Storm;Undirected;4;3;M
Andrew-Estermont;Gerald-Gower;Undirected;3;3;M
Anguy;ARYA;Undirected;15;3;M
Anguy;Beric-Dondarrion;Undirected;4;3;M
Anguy;Greenbeard;Undirected;9;3;M
Anguy;Harwin;Undirected;7;3;M
Anguy;Husband;Undirected;3;3;M
Anguy;Lem;Undirected;22;3;M
Anguy;Sandor-Clegane;Undirected;3;3;M
Anguy;Sharna;Undirected;6;3;M
Anguy;Tom-of-Sevenstreams;Undirected;12;3;M
Arson;JON;Undirected;3;3;M
Arstan;Belwas;Undirected;25;3;M
Arstan;DAENERYS;Undirected;29;3;M
Arstan;Illyrio-Mopatis;Undirected;3;3;M
Arstan;Jhiqui;Undirected;3;3;M
Arstan;JORAH;Undirected;13;3;M
Arstan;Kraznys-mo-Nakloz;Undirected;3;3;M
Arstan;Mero;Undirected;7;3;M
Arstan;Rhaegar-Targaryen;Undirected;7;3;M
Arthur-Dayne;Gerold-Hightower;Undirected;5;3;M
Arthur-Dayne;Lewyn-Martell;Undirected;3;3;M
Arthur-Dayne;Rhaegar-Targaryen;Undirected;3;3;M
Arthur-Dayne;Smiling-Knight;Undirected;4;3;M
ARYA;Beric-Dondarrion;Undirected;23;3;F
ARYA;Bran-Stark;Undirected;9;3;F
ARYA;Brynden-Tully;Undirected;4;3;F
ARYA;CATELYN;Undirected;3;3;F
ARYA;Cersei-Lannister;Undirected;6;3;F
ARYA;Dunsen;Undirected;3;3;F
ARYA;NED;Undirected;6;3;F
ARYA;Elmar-Frey;Undirected;4;3;F
ARYA;Gendry;Undirected;46;3;F
ARYA;Greenbeard;Undirected;9;3;F
ARYA;Gregor-Clegane;Undirected;6;3;F
ARYA;Harwin;Undirected;17;3;F
ARYA;Hot-Pie;Undirected;25;3;F
ARYA;Ilyn-Payne;Undirected;3;3;F
ARYA;Jaime-Lannister;Undirected;10;3;F
ARYA;Joffrey-Baratheon;Undirected;10;3;F
ARYA;JON;Undirected;9;3;F
ARYA;Lem;Undirected;24;3;F
ARYA;Mad-Huntsman;Undirected;4;3;F
ARYA;Meryn-Trant;Undirected;3;3;F
ARYA;Mycah;Undirected;6;3;F
ARYA;Nan;Undirected;7;3;F
ARYA;Pate-(Old);Undirected;4;3;F
ARYA;Polliver;Undirected;11;3;F
ARYA;Rafford;Undirected;5;3;F
ARYA;Ravella-Swann;Undirected;7;3;F
ARYA;Rickon-Stark;Undirected;8;3;F
ARYA;ROBB;Undirected;14;3;F
ARYA;ROBERT;Undirected;5;3;F
ARYA;Roose-Bolton;Undirected;8;3;F
ARYA;Sandor-Clegane;Undirected;48;3;F
ARYA;Sansa-Stark;Undirected;23;3;F
ARYA;Thoros-of-Myr;Undirected;21;3;F
ARYA;Tickler;Undirected;5;3;F
ARYA;Tom-of-Sevenstreams;Undirected;24;3;F
ARYA;Tyrion-Lannister;Undirected;7;3;F
Axell-Florent;Davos-Seaworth;Undirected;21;3;M
Axell-Florent;Lamprey;Undirected;5;3;M
Axell-Florent;Melisandre;Undirected;4;3;M
Axell-Florent;Porridge;Undirected;5;3;M
Axell-Florent;Salladhor-Saan;Undirected;3;3;M
Axell-Florent;Selyse-Florent;Undirected;8;3;M
Axell-Florent;Stannis-Baratheon;Undirected;16;3;M
Azor-Ahai;Stannis-Baratheon;Undirected;3;3;M
Baelor-I-Targaryen;Cersei-Lannister;Undirected;3;3;M
Baelor-I-Targaryen;Sansa-Stark;Undirected;3;3;M
Baelor-I-Targaryen;Tyrion-Lannister;Undirected;3;3;M
Ballabar;Frenken;Undirected;4;3;M
Ballabar;Tyrion-Lannister;Undirected;4;3;M
Balon-Greyjoy;ROBB;Undirected;6;3;M
Balon-Greyjoy;Stannis-Baratheon;Undirected;4;3;M
Balon-Greyjoy;Tywin-Lannister;Undirected;4;3;M
Balon-Swann;Boros-Blount;Undirected;3;3;M
Balon-Swann;Jaime-Lannister;Undirected;5;3;M
Balon-Swann;Joffrey-Baratheon;Undirected;5;3;M
Balon-Swann;Loras-Tyrell;Undirected;6;3;M
Balon-Swann;Osmund-Kettleblack;Undirected;3;3;M
Balon-Swann;Tyrion-Lannister;Undirected;4;3;M
Bannen;Dywen;Undirected;5;3;M
Bannen;SAM;Undirected;11;3;M
Barristan-Selmy;DAENERYS;Undirected;5;3;M
Barristan-Selmy;Gerold-Hightower;Undirected;5;3;M
Barristan-Selmy;Jaime-Lannister;Undirected;4;3;M
Barristan-Selmy;JORAH;Undirected;5;3;M
Barristan-Selmy;ROBERT;Undirected;8;3;M
Bedwyck;Craster;Undirected;4;3;M
Bedwyck;Dywen;Undirected;3;3;M
Bedwyck;Eddison-Tollett;Undirected;4;3;M
Bedwyck;Grenn;Undirected;4;3;M
Bedwyck;SAM;Undirected;3;3;M
Belwas;Ben-Plumm;Undirected;4;3;M
Belwas;DAENERYS;Undirected;28;3;M
Belwas;Illyrio-Mopatis;Undirected;8;3;M
Belwas;Jhiqui;Undirected;3;3;M
Belwas;JORAH;Undirected;18;3;M
Belwas;Oznak-zo-Pahl;Undirected;8;3;M
Ben-Plumm;Daario-Naharis;Undirected;4;3;M
Ben-Plumm;DAENERYS;Undirected;10;3;M
Benjen-Stark;Bran-Stark;Undirected;3;3;M
Benjen-Stark;Jeor-Mormont;Undirected;3;3;M
Benjen-Stark;JON;Undirected;3;3;M
Benjen-Stark;ROBERT;Undirected;3;3;M
Beric-Dondarrion;Gendry;Undirected;4;3;M
Beric-Dondarrion;Gregor-Clegane;Undirected;3;3;M
Beric-Dondarrion;Harwin;Undirected;7;3;M
Beric-Dondarrion;Jack-Bulwer;Undirected;4;3;M
Beric-Dondarrion;Joffrey-Baratheon;Undirected;3;3;M
Beric-Dondarrion;Lem;Undirected;14;3;M
Beric-Dondarrion;Sandor-Clegane;Undirected;15;3;M
Beric-Dondarrion;Thoros-of-Myr;Undirected;26;3;M
Beric-Dondarrion;Tom-of-Sevenstreams;Undirected;4;3;M
Big-Boil;JON;Undirected;3;3;M
Big-Boil;Ygritte;Undirected;3;3;M
Biter;Rorge;Undirected;3;3;M
Blane;Jeor-Mormont;Undirected;3;3;M
Boros-Blount;Cersei-Lannister;Undirected;4;3;M
Boros-Blount;Jaime-Lannister;Undirected;6;3;M
Boros-Blount;Loras-Tyrell;Undirected;5;3;M
Boros-Blount;Meryn-Trant;Undirected;6;3;M
Boros-Blount;Tommen-Baratheon;Undirected;7;3;M
Boros-Blount;Tyrion-Lannister;Undirected;6;3;M
Bowen-Marsh;Cotter-Pyke;Undirected;3;3;M
Bowen-Marsh;Denys-Mallister;Undirected;5;3;M
Bowen-Marsh;Donal-Noye;Undirected;4;3;M
Bowen-Marsh;Eddison-Tollett;Undirected;3;3;M
Bowen-Marsh;Hobb;Undirected;3;3;M
Bowen-Marsh;Janos-Slynt;Undirected;10;3;M
Bowen-Marsh;Jeor-Mormont;Undirected;8;3;M
Bowen-Marsh;JON;Undirected;5;3;M
Bowen-Marsh;Othell-Yarwyck;Undirected;9;3;M
Bowen-Marsh;SAM;Undirected;7;3;M
Bran-Stark;CATELYN;Undirected;3;3;M
Bran-Stark;Coldhands;Undirected;4;3;M
Bran-Stark;NED;Undirected;7;3;M
Bran-Stark;Hodor;Undirected;71;3;M
Bran-Stark;Joffrey-Baratheon;Undirected;3;3;M
Bran-Stark;Jojen-Reed;Undirected;48;3;M
Bran-Stark;JON;Undirected;13;3;M
Bran-Stark;Jon-Umber-(Greatjon);Undirected;3;3;M
Bran-Stark;Meera-Reed;Undirected;54;3;M
Bran-Stark;Nan;Undirected;14;3;M
Bran-Stark;Rickon-Stark;Undirected;31;3;M
Bran-Stark;ROBB;Undirected;18;3;M
Bran-Stark;SAM;Undirected;11;3;M
Bran-Stark;Sansa-Stark;Undirected;10;3;M
Bran-Stark;Theon-Greyjoy;Undirected;9;3;M
Brandon-Stark;NED;Undirected;8;3;M
Brandon-Stark;Rickon-Stark;Undirected;3;3;M
Brandon-Stark;ROBB;Undirected;3;3;M
Brella;Sansa-Stark;Undirected;4;3;F
Brella;Shae;Undirected;4;3;F
Brenett;CATELYN;Undirected;3;3;M
Brienne-of-Tarth;CATELYN;Undirected;7;3;F
Brienne-of-Tarth;Cersei-Lannister;Undirected;5;3;F
Brienne-of-Tarth;Cleos-Frey;Undirected;12;3;F
Brienne-of-Tarth;Elmar-Frey;Undirected;6;3;F
Brienne-of-Tarth;Jaime-Lannister;Undirected;87;3;F
Brienne-of-Tarth;Loras-Tyrell;Undirected;6;3;F
Brienne-of-Tarth;Qyburn;Undirected;3;3;F
Brienne-of-Tarth;ROBB;Undirected;5;3;F
Brienne-of-Tarth;Roose-Bolton;Undirected;11;3;F
Brienne-of-Tarth;Sansa-Stark;Undirected;5;3;F
Brienne-of-Tarth;Tyrion-Lannister;Undirected;4;3;F
Brienne-of-Tarth;Vargo-Hoat;Undirected;4;3;F
Brienne-of-Tarth;Walton;Undirected;3;3;F
BRONN;Cersei-Lannister;Undirected;8;3;M
BRONN;Gregor-Clegane;Undirected;4;3;M
BRONN;Joffrey-Baratheon;Undirected;3;3;M
BRONN;Lollys-Stokeworth;Undirected;3;3;M
BRONN;Mandon-Moore;Undirected;3;3;M
BRONN;Oberyn-Martell;Undirected;4;3;M
BRONN;Podrick-Payne;Undirected;17;3;M
BRONN;Tommen-Baratheon;Undirected;4;3;M
BRONN;Tyrion-Lannister;Undirected;32;3;M
BRONN;Tywin-Lannister;Undirected;3;3;M
BRONN;VARYS;Undirected;4;3;M
Brynden-Tully;CATELYN;Undirected;5;3;M
Brynden-Tully;Edmure-Tully;Undirected;6;3;M
Brynden-Tully;Rickard-Karstark;Undirected;4;3;M
Brynden-Tully;ROBB;Undirected;12;3;M
Brynden-Tully;Tywin-Lannister;Undirected;4;3;M
Brynden-Tully;Walder-Frey;Undirected;4;3;M
Butterbumps;Olenna-Redwyne;Undirected;4;3;M
Butterbumps;Sansa-Stark;Undirected;6;3;M
Byam-Flint;Craster;Undirected;3;3;M
CATELYN;Cersei-Lannister;Undirected;4;3;F
CATELYN;Cleos-Frey;Undirected;4;3;F
CATELYN;Dacey-Mormont;Undirected;5;3;F
CATELYN;Desmond-Grell;Undirected;6;3;F
CATELYN;NED;Undirected;7;3;F
CATELYN;Edmure-Tully;Undirected;18;3;F
CATELYN;Elmar-Frey;Undirected;5;3;F
CATELYN;Hoster-Tully;Undirected;16;3;F
CATELYN;Jaime-Lannister;Undirected;19;3;F
CATELYN;Jason-Mallister;Undirected;5;3;F
CATELYN;Jeyne-Westerling;Undirected;13;3;F
CATELYN;Joffrey-Baratheon;Undirected;3;3;F
CATELYN;Jon-Umber-(Greatjon);Undirected;10;3;F
CATELYN;Lothar-Frey;Undirected;3;3;F
CATELYN;Lysa-Arryn;Undirected;15;3;F
CATELYN;Maege-Mormont;Undirected;6;3;F
CATELYN;Marq-Piper;Undirected;3;3;F
CATELYN;LITTLEFINGER;Undirected;6;3;F
CATELYN;Raynald-Westerling;Undirected;5;3;F
CATELYN;Rickard-Karstark;Undirected;6;3;F
CATELYN;ROBB;Undirected;48;3;F
CATELYN;Robin-Ryger;Undirected;3;3;F
CATELYN;Rodrik-Cassel;Undirected;3;3;F
CATELYN;Roose-Bolton;Undirected;10;3;F
CATELYN;Roslin-Frey;Undirected;7;3;F
CATELYN;Ryman-Frey;Undirected;6;3;F
CATELYN;Sansa-Stark;Undirected;11;3;F
CATELYN;Stannis-Baratheon;Undirected;4;3;F
CATELYN;Tansy;Undirected;8;3;F
CATELYN;Tyrion-Lannister;Undirected;7;3;F
CATELYN;Vyman;Undirected;9;3;F
CATELYN;Walder-Frey;Undirected;25;3;F
Cersei-Lannister;Dunsen;Undirected;6;3;F
Cersei-Lannister;NED;Undirected;6;3;F
Cersei-Lannister;Elia-Martell;Undirected;4;3;F
Cersei-Lannister;Ellaria-Sand;Undirected;4;3;F
Cersei-Lannister;Gregor-Clegane;Undirected;7;3;F
Cersei-Lannister;Ilyn-Payne;Undirected;8;3;F
Cersei-Lannister;Jaime-Lannister;Undirected;35;3;F
Cersei-Lannister;Joffrey-Baratheon;Undirected;44;3;F
Cersei-Lannister;Kevan-Lannister;Undirected;5;3;F
Cersei-Lannister;Lancel-Lannister;Undirected;3;3;F
Cersei-Lannister;Lysa-Arryn;Undirected;4;3;F
Cersei-Lannister;Mace-Tyrell;Undirected;6;3;F
Cersei-Lannister;Mandon-Moore;Undirected;4;3;F
Cersei-Lannister;Margaery-Tyrell;Undirected;6;3;F
Cersei-Lannister;Meryn-Trant;Undirected;13;3;F
Cersei-Lannister;Oberyn-Martell;Undirected;9;3;F
Cersei-Lannister;Olenna-Redwyne;Undirected;5;3;F
Cersei-Lannister;Osmund-Kettleblack;Undirected;8;3;F
Cersei-Lannister;Polliver;Undirected;6;3;F
Cersei-Lannister;Pycelle;Undirected;4;3;F
Cersei-Lannister;Rafford;Undirected;6;3;F
Cersei-Lannister;ROBERT;Undirected;14;3;F
Cersei-Lannister;Sandor-Clegane;Undirected;5;3;F
Cersei-Lannister;Sansa-Stark;Undirected;21;3;F
Cersei-Lannister;Shae;Undirected;4;3;F
Cersei-Lannister;Tickler;Undirected;6;3;F
Cersei-Lannister;Tommen-Baratheon;Undirected;4;3;F
Cersei-Lannister;Tyrion-Lannister;Undirected;54;3;F
Cersei-Lannister;Tywin-Lannister;Undirected;20;3;F
Cersei-Lannister;VARYS;Undirected;4;3;F
Cersei-Lannister;Willas-Tyrell;Undirected;5;3;F
Chataya;Tyrion-Lannister;Undirected;4;3;F
Chett;Jeor-Mormont;Undirected;6;3;M
Chett;Lark;Undirected;9;3;M
Chett;Qhorin-Halfhand;Undirected;3;3;M
Chett;SAM;Undirected;4;3;M
Chett;Small-Paul;Undirected;8;3;M
Cleon;DAENERYS;Undirected;4;3;M
Cleon;Ghael;Undirected;5;3;M
Cleos-Frey;Jaime-Lannister;Undirected;25;3;M
Clubfoot-Karl;Craster;Undirected;6;3;M
Clubfoot-Karl;SAM;Undirected;3;3;M
Clydas;Hobb;Undirected;6;3;M
Clydas;JON;Undirected;10;3;M
Clydas;SAM;Undirected;6;3;M
Coldhands;Gilly;Undirected;3;3;M
Cotter-Pyke;Denys-Mallister;Undirected;14;3;M
Cotter-Pyke;Eddison-Tollett;Undirected;3;3;M
Cotter-Pyke;JON;Undirected;3;3;M
Cotter-Pyke;Othell-Yarwyck;Undirected;6;3;M
Cotter-Pyke;Pypar;Undirected;3;3;M
Cotter-Pyke;SAM;Undirected;10;3;M
Cotter-Pyke;Stannis-Baratheon;Undirected;5;3;M
Craster;Dirk;Undirected;6;3;M
Craster;Eddison-Tollett;Undirected;3;3;M
Craster;Gilly;Undirected;16;3;M
Craster;Grenn;Undirected;3;3;M
Craster;Jeor-Mormont;Undirected;8;3;M
Craster;Jojen-Reed;Undirected;3;3;M
Craster;JON;Undirected;7;3;M
Craster;Mance-Rayder;Undirected;6;3;M
Craster;SAM;Undirected;32;3;M
Craster;Tormund;Undirected;3;3;M
Cressen;Davos-Seaworth;Undirected;4;3;M
Daario-Naharis;DAENERYS;Undirected;15;3;M
Daario-Naharis;DROGO;Undirected;3;3;M
Daario-Naharis;Irri;Undirected;3;3;M
Daario-Naharis;JORAH;Undirected;10;3;M
Daario-Naharis;Prendahl-na-Ghezn;Undirected;3;3;M
Daario-Naharis;Sallor;Undirected;3;3;M
Dacey-Mormont;Maege-Mormont;Undirected;3;3;M
Dacey-Mormont;ROBB;Undirected;3;3;M
DAENERYS;DROGO;Undirected;7;3;F
DAENERYS;Ghael;Undirected;3;3;F
DAENERYS;Grey-Worm;Undirected;14;3;F
DAENERYS;Groleo;Undirected;6;3;F
DAENERYS;Irri;Undirected;17;3;F
DAENERYS;Jhiqui;Undirected;17;3;F
DAENERYS;Jhogo;Undirected;4;3;F
DAENERYS;JORAH;Undirected;53;3;F
DAENERYS;Kraznys-mo-Nakloz;Undirected;16;3;F
DAENERYS;Mero;Undirected;5;3;F
DAENERYS;Missandei;Undirected;26;3;F
DAENERYS;Oznak-zo-Pahl;Undirected;4;3;F
DAENERYS;Rakharo;Undirected;7;3;F
DAENERYS;Rhaegar-Targaryen;Undirected;13;3;F
DAENERYS;Rhaegel-Targaryen;Undirected;5;3;F
DAENERYS;ROBERT;Undirected;8;3;F
DAENERYS;Viserys-Targaryen;Undirected;8;3;F
Daeron-I-Targaryen;Shireen-Baratheon;Undirected;3;3;M
Dalla;JON;Undirected;6;3;F
Dalla;Mance-Rayder;Undirected;10;3;F
Dalla;Val;Undirected;7;3;F
Davos-Seaworth;Devan-Seaworth;Undirected;5;3;M
Davos-Seaworth;Edric-Storm;Undirected;19;3;M
Davos-Seaworth;Guncer-Sunglass;Undirected;3;3;M
Davos-Seaworth;Joffrey-Baratheon;Undirected;10;3;M
Davos-Seaworth;Khorane-Sathmantes;Undirected;4;3;M
Davos-Seaworth;Lamprey;Undirected;8;3;M
Davos-Seaworth;Melisandre;Undirected;40;3;M
Davos-Seaworth;Porridge;Undirected;6;3;M
Davos-Seaworth;Pylos;Undirected;15;3;M
Davos-Seaworth;Salladhor-Saan;Undirected;22;3;M
Davos-Seaworth;Selyse-Florent;Undirected;6;3;M
Davos-Seaworth;Shireen-Baratheon;Undirected;9;3;M
Davos-Seaworth;Stannis-Baratheon;Undirected;52;3;M
Denys-Mallister;Eddison-Tollett;Undirected;3;3;M
Denys-Mallister;Janos-Slynt;Undirected;3;3;M
Denys-Mallister;Othell-Yarwyck;Undirected;4;3;M
Denys-Mallister;Pypar;Undirected;4;3;M
Denys-Mallister;SAM;Undirected;14;3;M
Desmond-Grell;Edmure-Tully;Undirected;4;3;M
Desmond-Grell;ROBB;Undirected;4;3;M
Desmond-Grell;Utherydes-Wayn;Undirected;6;3;M
Devan-Seaworth;Pylos;Undirected;3;3;M
Devan-Seaworth;Stannis-Baratheon;Undirected;4;3;M
Dick-Follard;JON;Undirected;3;3;M
Dick-Follard;Satin;Undirected;5;3;M
Dirk;SAM;Undirected;4;3;M
Donal-Noye;Jeor-Mormont;Undirected;4;3;M
Donal-Noye;JON;Undirected;33;3;M
Donal-Noye;Mag-Mar-Tun-Doh-Weg;Undirected;6;3;M
Donal-Noye;Mance-Rayder;Undirected;3;3;M
Donal-Noye;Qhorin-Halfhand;Undirected;3;3;M
Donal-Noye;Stannis-Baratheon;Undirected;4;3;M
Dontos-Hollard;Joffrey-Baratheon;Undirected;10;3;M
Dontos-Hollard;Lothor-Brune;Undirected;3;3;M
Dontos-Hollard;Moon-Boy;Undirected;3;3;M
Dontos-Hollard;LITTLEFINGER;Undirected;4;3;M
Dontos-Hollard;Sansa-Stark;Undirected;13;3;M
Dontos-Hollard;Tyrion-Lannister;Undirected;7;3;M
Dontos-Hollard;Willas-Tyrell;Undirected;3;3;M
Doran-Martell;Gregor-Clegane;Undirected;3;3;M
Doran-Martell;Oberyn-Martell;Undirected;4;3;M
Doran-Martell;Tyrion-Lannister;Undirected;10;3;M
DROGO;Irri;Undirected;3;3;M
DROGO;JORAH;Undirected;8;3;M
Dunsen;Gregor-Clegane;Undirected;11;3;M
Dunsen;Ilyn-Payne;Undirected;6;3;M
Dunsen;Joffrey-Baratheon;Undirected;6;3;M
Dunsen;Meryn-Trant;Undirected;6;3;M
Dunsen;Polliver;Undirected;9;3;M
Dunsen;Rafford;Undirected;10;3;M
Dunsen;Sandor-Clegane;Undirected;7;3;M
Dunsen;Tickler;Undirected;9;3;M
Dywen;Eddison-Tollett;Undirected;5;3;M
Dywen;Grenn;Undirected;4;3;M
Dywen;Jeor-Mormont;Undirected;4;3;M
Dywen;SAM;Undirected;6;3;M
NED;Gregor-Clegane;Undirected;3;3;M
NED;Jaime-Lannister;Undirected;6;3;M
NED;Joffrey-Baratheon;Undirected;3;3;M
NED;JON;Undirected;4;3;M
NED;Rickon-Stark;Undirected;8;3;M
NED;ROBB;Undirected;13;3;M
NED;ROBERT;Undirected;7;3;M
NED;Sandor-Clegane;Undirected;4;3;M
NED;Sansa-Stark;Undirected;6;3;M
NED;Torrhen-Stark;Undirected;3;3;M
NED;Tyrion-Lannister;Undirected;3;3;M
Eddison-Tollett;Grenn;Undirected;13;3;M
Eddison-Tollett;Jeor-Mormont;Undirected;5;3;M
Eddison-Tollett;Othell-Yarwyck;Undirected;3;3;M
Eddison-Tollett;Pypar;Undirected;5;3;M
Eddison-Tollett;SAM;Undirected;15;3;M
Eddison-Tollett;Watt;Undirected;3;3;M
Edmure-Tully;Elmar-Frey;Undirected;3;3;M
Edmure-Tully;Hoster-Tully;Undirected;11;3;M
Edmure-Tully;Jaime-Lannister;Undirected;4;3;M
Edmure-Tully;Lothar-Frey;Undirected;4;3;M
Edmure-Tully;Marq-Piper;Undirected;5;3;M
Edmure-Tully;ROBB;Undirected;34;3;M
Edmure-Tully;Roslin-Frey;Undirected;15;3;M
Edmure-Tully;Tansy;Undirected;3;3;M
Edmure-Tully;Tywin-Lannister;Undirected;3;3;M
Edmure-Tully;Walder-Frey;Undirected;9;3;M
Edric-Storm;Pylos;Undirected;9;3;M
Edric-Storm;ROBERT;Undirected;3;3;M
Edric-Storm;Shireen-Baratheon;Undirected;3;3;M
Edric-Storm;Stannis-Baratheon;Undirected;6;3;M
Elia-Martell;Gregor-Clegane;Undirected;7;3;F
Elia-Martell;Jaime-Lannister;Undirected;4;3;F
Elia-Martell;Oberyn-Martell;Undirected;9;3;F
Elia-Martell;Rhaegar-Targaryen;Undirected;7;3;F
Elia-Martell;Tyrion-Lannister;Undirected;6;3;F
Elinor-Tyrell;Megga-Tyrell;Undirected;8;3;M
Elinor-Tyrell;Sansa-Stark;Undirected;5;3;M
Ellaria-Sand;Oberyn-Martell;Undirected;7;3;F
Ellaria-Sand;Tyrion-Lannister;Undirected;4;3;F
Elmar-Frey;Jaime-Lannister;Undirected;6;3;M
Elmar-Frey;ROBB;Undirected;9;3;M
Elmar-Frey;Roose-Bolton;Undirected;3;3;M
Elmar-Frey;Tywin-Lannister;Undirected;3;3;M
Elmar-Frey;Walder-Frey;Undirected;6;3;M
Errok;Grigg;Undirected;7;3;M
Errok;JON;Undirected;4;3;M
Errok;Styr;Undirected;3;3;M
Galbart-Glover;Robett-Glover;Undirected;3;3;M
Galyeon-of-Cuy;Tyrion-Lannister;Undirected;3;3;M
Garlan-Tyrell;Joffrey-Baratheon;Undirected;6;3;M
Garlan-Tyrell;Leonette-Fossoway;Undirected;3;3;M
Garlan-Tyrell;Loras-Tyrell;Undirected;6;3;M
Garlan-Tyrell;Sansa-Stark;Undirected;5;3;M
Garlan-Tyrell;Tyrion-Lannister;Undirected;11;3;M
Garlan-Tyrell;Willas-Tyrell;Undirected;3;3;M
Gawen-Westerling;Jeyne-Westerling;Undirected;3;3;M
Gawen-Westerling;Sybell-Spicer;Undirected;3;3;M
Gendel;Gorne;Undirected;3;3;M
Gendel;JON;Undirected;3;3;M
Gendry;Greenbeard;Undirected;3;3;M
Gendry;Harwin;Undirected;8;3;M
